ShipmentID,Origin,Destination,Pickup_Date,Delivery_Date,Delivery_Status,Distance_KM,Shipment_Mode,Weight_KG,Cost_USD,Customer_Segment,Delay_Reason
SHP000060,New York,Portland,2024-07-13,2024-07-15,Delivered,1490,Ground,149.66,795.3,Retail,None
SHP000061,Boston,San Diego,2024-11-04,2024-11-06,In Transit,2049,Freight,110.1,1053.11,Retail,None
SHP000062,Miami,Philadelphia,2024-08-27,2024-08-30,Delivered,2598,Freight,267.29,1394.47,Government,None
SHP000063,New York,San Francisco,2024-11-25,2024-11-27,Delivered,1941,Ground,91.27,963.21,Retail,None
SHP000064,Seattle,Orlando,2024-07-13,2024-07-16,Delayed,1776,Air,126.51,970.11,Retail,Weather
SHP000065,Atlanta,San Francisco,2024-11-29,2024-11-30,In Transit,177,Air,474.83,459.55,Business,None
SHP000066,Atlanta,Philadelphia,2024-08-30,2024-09-02,Delivered,2360,Ground,473.9,1381.34,Retail,None
SHP000067,Dallas,Portland,2024-11-06,2024-11-10,Delivered,2992,Freight,57.71,1446.03,Business,None
SHP000068,Phoenix,Houston,2024-06-08,2024-06-10,Delivered,1587,Ground,198.63,868.33,Government,None
SHP000069,Atlanta,San Francisco,2024-12-22,2024-12-27,Delayed,2852,Ground,300.41,1498.65,Retail,Customs
SHP000070,Boston,Las Vegas,2024-12-04,2024-12-11,Delayed,2122,Ground,323.95,1184.27,Business,Operational
SHP000071,Miami,Orlando,2024-11-21,2024-11-23,Delivered,1933,Freight,353.8,1147.13,Government,None
SHP000072,Los Angeles,Portland,2024-10-02,2024-10-04,Delivered,1954,Ground,218.07,1045.14,Business,None
SHP000073,Chicago,Charlotte,2024-08-18,2024-08-20,Delivered,1953,Air,285.14,1144.93,Retail,None
SHP000074,Seattle,Philadelphia,2024-09-06,2024-09-07,Delivered,1108,Air,170.5,695.9,Retail,None
SHP000075,Boston,Houston,2024-09-21,2024-09-22,Delivered,400,Freight,121.06,317.64,Business,None
SHP000076,Denver,Nashville,2024-08-17,2024-08-18,Delivered,431,Ground,147.47,317.43,Government,None
SHP000077,Phoenix,Orlando,2024-08-30,2024-09-01,Delivered,1458,Ground,213.04,818.92,Government,None
SHP000078,Denver,Charlotte,2024-06-05,2024-06-06,Delivered,544,Air,360.78,556.27,Government,None
SHP000079,Dallas,Detroit,2024-04-20,2024-04-21,Delivered,1182,Ground,362.43,784.36,Retail,None
SHP000080,Chicago,Detroit,2024-05-31,2024-06-01,Delivered,784,Air,151.48,538.69,Business,None
SHP000081,New York,San Diego,2024-05-29,2024-05-30,Delivered,567,Ground,319.12,481.62,Business,None
SHP000082,Phoenix,Charlotte,2024-08-28,2024-09-03,Delayed,1445,Ground,92.59,740.8,Business,Customs
SHP000083,Chicago,Las Vegas,2024-09-08,2024-09-14,Delayed,2628,Air,343.38,1483.63,Business,Operational
SHP000084,Atlanta,San Francisco,2024-10-12,2024-10-15,Delivered,2533,Ground,298.27,1353.81,Retail,None
SHP000085,Denver,Nashville,2024-06-01,2024-06-03,Delivered,1806,Freight,153.04,969.52,Government,None
SHP000086,Chicago,Detroit,2024-11-16,2024-11-19,Delivered,2755,Air,41.05,1359.38,Business,None
SHP000087,New York,Las Vegas,2024-08-18,2024-08-20,Delivered,1974,Ground,145.98,1010.89,Government,None
SHP000088,Denver,San Francisco,2024-12-17,2024-12-18,Delivered,1133,Air,394.02,841.26,Business,None
SHP000089,Miami,San Francisco,2024-10-05,2024-10-06,Delivered,660,Air,454.25,664.55,Business,None
SHP000090,Los Angeles,Portland,2024-10-18,2024-10-20,Delivered,1848,Freight,62.61,934.17,Retail,None
SHP000091,Boston,San Diego,2024-09-09,2024-09-12,Delivered,2499,Ground,20.41,1171.8,Retail,None
SHP000092,New York,San Francisco,2024-04-27,2024-05-03,Delayed,2406,Freight,293.77,1323.96,Government,Operational
SHP000093,New York,Philadelphia,2024-08-28,2024-08-30,Delivered,1861,Ground,458.08,1147.3,Government,None
SHP000094,Denver,San Francisco,2024-08-28,2024-09-03,Delayed,1415,Ground,160.87,768.27,Government,Weather
SHP000095,Denver,Charlotte,2024-12-05,2024-12-09,Delayed,2303,Freight,18.83,1112.65,Retail,Weather
SHP000096,Boston,Houston,2024-12-02,2024-12-04,Delivered,1942,Freight,206.92,1063.05,Retail,None
SHP000097,Denver,Houston,2024-04-14,2024-04-15,Delivered,586,Air,463.87,637.02,Business,None
SHP000098,New York,Portland,2024-05-02,2024-05-03,Delivered,1322,Ground,275.64,795.28,Business,None
SHP000099,Denver,San Francisco,2024-11-27,2024-11-29,Delivered,2091,Freight,466.36,1285.77,Retail,None
SHP000100,Denver,Nashville,2024-05-04,2024-05-05,Delivered,642,Ground,192.1,439.16,Business,None
SHP000101,Chicago,Charlotte,2024-07-31,2024-08-07,Delayed,2129,Ground,133.95,1073.42,Business,Operational
SHP000102,Denver,San Diego,2024-09-04,2024-09-07,Delivered,2310,Ground,381.55,1303.43,Business,None
SHP000103,Atlanta,Portland,2024-07-15,2024-07-17,Delivered,1732,Air,22.3,887.78,Retail,None
SHP000104,Miami,Philadelphia,2024-09-10,2024-09-11,Delivered,567,Freight,251.39,470.98,Retail,None
SHP000105,Chicago,San Diego,2024-08-21,2024-08-22,Delivered,640,Air,205.28,506.17,Retail,None
SHP000106,Los Angeles,Orlando,2024-11-15,2024-11-18,Delivered,2711,Ground,40.62,1279.32,Government,None
SHP000107,Miami,Orlando,2024-11-16,2024-11-21,Delayed,2048,Ground,436.26,1218.36,Business,Weather
SHP000108,Chicago,Las Vegas,2024-02-20,2024-02-24,Delivered,2933,Ground,436.35,1616.66,Business,None
SHP000109,New York,Orlando,2024-01-29,2024-01-31,Delivered,1585,Air,215.63,937.63,Government,None
SHP000110,Dallas,Philadelphia,2024-03-30,2024-04-01,Delivered,1616,Air,310.05,1008.23,Business,None
SHP000111,Atlanta,Nashville,2024-11-22,2024-11-23,Delivered,1095,Air,333.59,787.9,Retail,None
SHP000112,Boston,Philadelphia,2024-02-07,2024-02-09,Delivered,1465,Ground,493.83,990.55,Government,None
SHP000113,Los Angeles,Nashville,2024-06-03,2024-06-08,Delayed,1625,Air,426.74,1082.29,Government,Weather
SHP000114,Los Angeles,Charlotte,2024-01-12,2024-01-16,Delayed,2746,Freight,198.2,1419.62,Government,Customs
SHP000115,Denver,Charlotte,2024-04-27,2024-04-29,Delivered,1493,Ground,109.89,772.78,Government,None
SHP000116,Dallas,San Francisco,2024-11-17,2024-11-20,Delayed,1315,Ground,394.41,863.4,Business,Weather
SHP000117,Los Angeles,Orlando,2024-07-31,2024-08-01,Delivered,591,Air,393.36,596.97,Government,None
SHP000118,Los Angeles,Philadelphia,2024-05-11,2024-05-13,Delivered,2023,Freight,483.71,1265.58,Business,None
SHP000119,Denver,San Francisco,2024-03-13,2024-03-14,Delivered,974,Ground,430.14,731.38,Government,None
SHP000120,Seattle,San Francisco,2024-07-21,2024-07-24,Delivered,2247,Air,62.23,1143.49,Retail,None
SHP000121,Phoenix,Las Vegas,2024-11-22,2024-11-23,Delivered,493,Freight,337.58,489.4,Government,None
SHP000122,Seattle,Portland,2024-04-23,2024-04-26,Delivered,2652,Ground,412.02,1475.61,Retail,None
SHP000123,Chicago,Philadelphia,2024-01-24,2024-01-27,Delayed,1296,Freight,497.97,946.98,Retail,Weather
SHP000124,Denver,Orlando,2024-12-09,2024-12-13,Delivered,2902,Freight,473.01,1654.71,Business,None
SHP000125,Miami,San Francisco,2024-09-07,2024-09-08,Delivered,1195,Ground,16.84,582.85,Business,None
SHP000126,Seattle,San Francisco,2024-12-17,2024-12-20,Delivered,2691,Ground,179.66,1353.75,Business,None
SHP000127,Denver,San Francisco,2024-12-05,2024-12-10,Delayed,2669,Air,298.77,1475.31,Business,Operational
SHP000128,Phoenix,Detroit,2024-02-05,2024-02-08,Delivered,2320,Freight,103.98,1171.39,Retail,None
SHP000129,Dallas,Portland,2024-01-02,2024-01-03,Delivered,642,Air,493.77,680.16,Business,None
SHP000130,New York,Philadelphia,2024-01-08,2024-01-11,Delayed,1024,Ground,294.63,672.58,Government,Weather
SHP000131,Miami,San Diego,2024-02-28,2024-03-01,Delivered,2000,Ground,224.41,1069.65,Retail,None
SHP000132,Boston,Detroit,2024-11-10,2024-11-13,Delivered,2748,Air,260.96,1488.18,Business,None
SHP000133,Denver,Las Vegas,2024-08-06,2024-08-08,Delivered,2058,Ground,356.34,1174.9,Retail,None
SHP000134,Phoenix,Philadelphia,2024-02-03,2024-02-06,Delivered,2607,Air,316.72,1458.18,Government,None
SHP000135,Boston,Charlotte,2024-08-20,2024-08-22,Delivered,1812,Ground,50.04,880.42,Government,None
SHP000136,Boston,Detroit,2024-08-08,2024-08-09,Delivered,985,Ground,207.2,602.57,Government,None
SHP000137,Chicago,Orlando,2024-08-06,2024-08-08,Delayed,1094,Ground,187.46,639.78,Business,Customs
SHP000138,Chicago,San Francisco,2024-08-09,2024-08-11,Delivered,1576,Air,405.98,1047.79,Government,None
SHP000139,Boston,Orlando,2024-12-09,2024-12-11,Delivered,1498,Air,436.87,1031.22,Government,None
SHP000140,New York,Charlotte,2024-11-03,2024-11-04,Delivered,474,Ground,289.17,421.8,Business,None
SHP000141,Chicago,Orlando,2024-10-11,2024-10-12,Delivered,1191,Ground,287.26,743.31,Government,None
SHP000142,Phoenix,San Diego,2024-01-14,2024-01-17,Delivered,2744,Ground,414.82,1518.69,Government,None
SHP000143,Los Angeles,Orlando,2024-06-28,2024-06-29,Delivered,636,Air,283.38,551.23,Government,None
SHP000144,New York,San Francisco,2024-09-28,2024-10-03,Delayed,1769,Air,227.1,1027.31,Government,Weather
SHP000145,Phoenix,San Francisco,2024-01-27,2024-02-03,Delayed,2580,Air,25.36,1271.22,Retail,Operational
SHP000146,Phoenix,Nashville,2024-07-31,2024-08-03,Delivered,2148,Air,57.35,1096.01,Government,None
SHP000147,Phoenix,Nashville,2024-09-26,2024-09-27,Delivered,236,Ground,110.65,207.59,Business,None
SHP000148,Los Angeles,Detroit,2024-03-11,2024-03-14,Delayed,1235,Ground,164.4,689.39,Business,Operational
SHP000149,Miami,San Diego,2024-12-26,2024-12-29,Delivered,2338,Air,416.76,1397.16,Government,None
SHP000150,New York,Las Vegas,2024-01-10,2024-01-11,Delivered,368,Ground,431.12,459.27,Government,None
SHP000151,Miami,Charlotte,2024-02-28,2024-02-29,Delivered,1380,Ground,86.35,707.81,Government,None
SHP000152,Seattle,San Francisco,2024-08-11,2024-08-12,Delivered,1046,Freight,218.12,666.57,Retail,None
SHP000153,Seattle,Detroit,2024-06-19,2024-06-23,Delayed,362,Ground,255.49,351.19,Retail,Operational
SHP000154,Dallas,Detroit,2024-02-22,2024-02-24,Delayed,858,Air,87.16,533.4,Business,Operational
SHP000155,Denver,Nashville,2024-10-15,2024-10-17,Delivered,1888,Ground,340.73,1089.04,Government,None
SHP000156,Seattle,Orlando,2024-03-18,2024-03-20,Delivered,1970,Ground,221.38,1054.33,Business,None
SHP000157,Seattle,San Diego,2024-02-07,2024-02-09,Delivered,1901,Ground,19.28,902.02,Government,None
SHP000158,Chicago,Portland,2024-10-31,2024-11-02,Delivered,1945,Ground,290.37,1084.47,Business,None
SHP000159,Denver,Portland,2024-11-29,2024-12-03,Delayed,2528,Air,238.08,1375.45,Retail,Weather
SHP000160,Chicago,San Diego,2024-11-26,2024-11-27,Delivered,1064,Air,353.96,786.18,Government,None
SHP000161,Dallas,Orlando,2024-07-09,2024-07-11,Delivered,1636,Freight,204.68,924.01,Government,None
SHP000162,Seattle,San Francisco,2024-06-17,2024-06-21,Delivered,2828,Air,193.59,1483.75,Government,None
SHP000163,Dallas,Orlando,2024-02-11,2024-02-12,Delivered,629,Ground,458.41,593.1,Government,None
SHP000164,Miami,Philadelphia,2024-10-31,2024-11-01,Delivered,397,Ground,155.14,306.73,Business,None
SHP000165,Boston,San Francisco,2024-11-26,2024-11-29,Delivered,2132,Ground,181.23,1103.14,Business,None
SHP000166,Seattle,Nashville,2024-04-08,2024-04-09,Delivered,613,Air,77.9,417.59,Government,None
SHP000167,Boston,San Diego,2024-01-20,2024-01-23,Delivered,2581,Ground,65.96,1236.03,Government,None
SHP000168,Phoenix,Philadelphia,2024-08-12,2024-08-14,Delivered,1542,Air,338.34,991.9,Retail,None
SHP000169,Denver,Detroit,2024-09-30,2024-10-02,Delivered,1971,Air,452.04,1253.17,Government,None
SHP000170,Denver,Nashville,2024-05-24,2024-05-27,Delivered,2109,Ground,263.97,1142.43,Government,None
SHP000171,Dallas,Charlotte,2024-01-27,2024-01-30,Delayed,1570,Ground,277.49,907.99,Retail,Operational
SHP000172,Chicago,Philadelphia,2024-05-19,2024-05-22,Delivered,2152,Ground,74.1,1047.86,Business,None
SHP000173,Denver,Orlando,2024-01-14,2024-01-16,Delivered,1673,Ground,251.25,938.6,Retail,None
SHP000174,Atlanta,Houston,2024-06-12,2024-06-16,Delivered,2977,Freight,325.16,1599.75,Retail,None
SHP000175,Denver,Philadelphia,2024-12-27,2025-01-01,Delayed,2570,Ground,3.12,1193.37,Government,Weather
SHP000176,Phoenix,San Diego,2024-08-04,2024-08-09,Delayed,1230,Air,119.2,720.02,Business,Weather
SHP000177,Chicago,Nashville,2024-11-01,2024-11-04,Delivered,2638,Ground,257.93,1376.86,Retail,None
SHP000178,New York,Portland,2024-06-29,2024-07-01,Delivered,1756,Air,94.06,941.64,Retail,None
SHP000179,Chicago,San Diego,2024-10-05,2024-10-08,Delivered,2129,Ground,277.3,1159.43,Government,None
SHP000180,Miami,Orlando,2024-05-09,2024-05-11,Delivered,1512,Ground,394.37,952.02,Government,None
SHP000181,Chicago,Portland,2024-06-19,2024-06-21,Delivered,1493,Air,273.23,930.79,Government,None
SHP000182,Denver,Nashville,2024-11-19,2024-11-20,Delivered,602,Air,32.02,385.11,Retail,None
SHP000183,Atlanta,Houston,2024-04-12,2024-04-13,Delivered,1342,Freight,466.72,948.93,Government,None
SHP000184,Denver,Charlotte,2024-01-19,2024-01-20,In Transit,832,Ground,143.41,495.45,Government,None
SHP000185,Seattle,Charlotte,2024-03-04,2024-03-06,Delivered,1839,Ground,444.8,1129.43,Retail,None
SHP000186,Seattle,Philadelphia,2024-09-11,2024-09-13,Delivered,1554,Ground,462.19,1011.61,Government,None
SHP000187,Miami,San Francisco,2024-08-08,2024-08-09,Delivered,789,Ground,272.96,553.83,Government,None
SHP000188,Los Angeles,Charlotte,2024-08-16,2024-08-18,Delivered,1795,Ground,83.74,892.99,Government,None
SHP000189,Seattle,Portland,2024-08-10,2024-08-11,Delivered,284,Air,37.98,245.59,Government,None
SHP000190,Dallas,Houston,2024-03-14,2024-03-21,Delayed,2827,Freight,390.77,1571.61,Retail,Weather
SHP000191,Miami,Portland,2024-01-17,2024-01-21,Delivered,2831,Ground,225.24,1444.09,Business,None
SHP000192,Phoenix,Philadelphia,2024-09-28,2024-09-29,Delivered,1337,Ground,324.96,831.63,Government,None
SHP000193,Dallas,Nashville,2024-09-22,2024-09-25,Delivered,2350,Ground,59.32,1128.09,Business,None
SHP000194,Phoenix,Charlotte,2024-12-21,2024-12-25,Delayed,2061,Freight,100.49,1052.74,Government,Weather
SHP000195,Denver,San Francisco,2024-12-15,2024-12-16,Delivered,1359,Freight,334.09,877.0,Retail,None
SHP000196,Los Angeles,Philadelphia,2024-12-30,2025-01-03,Delivered,2918,Ground,319.03,1539.52,Business,None
SHP000197,Atlanta,Philadelphia,2024-05-01,2024-05-02,Delivered,157,Ground,180.77,214.11,Government,None
SHP000198,Dallas,Portland,2024-02-14,2024-02-16,Delivered,1680,Air,499.8,1150.88,Retail,None
SHP000199,Phoenix,San Francisco,2024-03-05,2024-03-08,Delivered,2681,Freight,37.55,1293.98,Business,None
SHP000200,Boston,Portland,2024-04-03,2024-04-04,Delivered,578,Ground,216.59,425.05,Business,None
SHP000201,Boston,Philadelphia,2024-06-04,2024-06-05,Delivered,1371,Air,467.4,992.39,Government,None
SHP000202,Los Angeles,San Francisco,2024-05-08,2024-05-11,Delivered,2306,Air,137.59,1215.25,Business,None
SHP000203,Boston,Philadelphia,2024-10-30,2024-10-31,Delivered,681,Freight,86.01,423.06,Retail,None
SHP000204,Phoenix,Houston,2024-01-15,2024-01-18,Delivered,2677,Air,385.63,1531.03,Government,None
SHP000205,Miami,Portland,2024-11-23,2024-11-26,Delivered,2618,Air,273.02,1436.91,Business,None
SHP000206,Miami,Charlotte,2024-08-20,2024-08-21,Delivered,295,Air,79.46,275.43,Retail,None
SHP000207,Phoenix,Philadelphia,2024-06-09,2024-06-10,Delivered,1357,Freight,367.23,895.99,Business,None
SHP000208,Seattle,San Diego,2024-10-14,2024-10-15,Delivered,1040,Air,233.5,703.1,Business,None
SHP000209,New York,Charlotte,2024-07-15,2024-07-17,Delivered,1762,Freight,124.51,932.61,Retail,None
SHP000210,Phoenix,Orlando,2024-04-07,2024-04-09,Delivered,2090,Ground,497.99,1274.29,Retail,None
SHP000211,New York,San Francisco,2024-07-20,2024-07-21,Delivered,1036,Ground,107.96,565.98,Retail,None
SHP000212,Phoenix,Nashville,2024-05-26,2024-05-27,Delivered,490,Ground,215.75,384.95,Retail,None
SHP000213,Seattle,Houston,2024-07-24,2024-07-27,Delivered,2351,Air,97.73,1211.59,Government,None
SHP000214,Denver,San Diego,2024-05-23,2024-05-30,Delayed,2602,Freight,340.36,1440.12,Retail,Customs
SHP000215,Seattle,San Diego,2024-07-06,2024-07-07,In Transit,865,Ground,301.43,605.11,Business,None
SHP000216,Dallas,Orlando,2024-08-30,2024-08-31,Delivered,660,Ground,303.33,514.0,Government,None
SHP000217,Seattle,Philadelphia,2024-07-20,2024-07-21,Delivered,1275,Freight,297.07,816.99,Retail,None
SHP000218,Phoenix,Charlotte,2024-08-31,2024-09-05,Delayed,1558,Freight,165.95,865.67,Government,Operational
SHP000219,New York,Portland,2024-08-30,2024-09-02,Delivered,2735,Air,391.56,1560.69,Government,None
SHP000220,New York,Portland,2024-09-02,2024-09-05,Delivered,2626,Air,360.73,1493.14,Government,None
SHP000221,Atlanta,Houston,2024-10-20,2024-10-21,Delivered,500,Freight,95.8,347.48,Retail,None
SHP000222,Atlanta,Las Vegas,2024-09-13,2024-09-15,Delivered,1981,Ground,436.47,1188.33,Business,None
SHP000223,Boston,Detroit,2024-10-14,2024-10-17,Delivered,2762,Ground,239.45,1421.57,Retail,None
SHP000224,Boston,Orlando,2024-10-06,2024-10-10,Delivered,2838,Ground,321.83,1505.2,Business,None
SHP000225,Atlanta,Charlotte,2024-10-12,2024-10-13,Delivered,1269,Air,385.7,897.47,Retail,None
SHP000226,Seattle,Nashville,2024-06-27,2024-06-28,Delivered,1170,Ground,144.25,648.05,Retail,None
SHP000227,Seattle,Philadelphia,2024-05-28,2024-06-01,Delivered,2975,Air,39.98,1457.74,Government,None
SHP000228,Denver,Detroit,2024-04-13,2024-04-14,Delivered,1160,Freight,466.55,866.93,Government,None
SHP000229,Phoenix,Detroit,2024-05-04,2024-05-07,Delivered,2225,Air,113.22,1164.18,Retail,None
SHP000230,Denver,San Francisco,2024-12-14,2024-12-15,Delivered,71,Ground,482.28,356.32,Government,None
SHP000231,Denver,Nashville,2024-11-29,2024-11-30,Delivered,1226,Air,160.92,743.25,Business,None
SHP000232,Phoenix,Detroit,2024-09-30,2024-10-03,Delayed,202,Ground,456.66,399.9,Business,Customs
SHP000233,Miami,Nashville,2024-04-05,2024-04-07,Delayed,1235,Freight,438.43,883.81,Retail,Operational
SHP000234,Los Angeles,Nashville,2024-11-24,2024-11-29,Delayed,2073,Ground,444.69,1234.66,Business,Operational
SHP000235,Chicago,Orlando,2024-03-24,2024-03-27,Delivered,2705,Ground,129.0,1329.65,Retail,None
SHP000236,Phoenix,Detroit,2024-03-30,2024-04-02,Delivered,2666,Ground,448.57,1503.84,Business,None
SHP000237,Miami,San Francisco,2024-04-04,2024-04-06,Delivered,2005,Freight,162.14,1064.53,Business,None
SHP000238,Denver,Charlotte,2024-06-17,2024-06-20,Delivered,2396,Ground,6.21,1116.93,Business,None
SHP000239,Chicago,Nashville,2024-06-06,2024-06-10,Delivered,2860,Air,251.51,1532.91,Retail,None
SHP000240,Chicago,Charlotte,2024-07-07,2024-07-08,Delivered,947,Ground,478.7,748.37,Government,None
SHP000241,Seattle,Las Vegas,2024-12-25,2024-12-27,Delivered,1978,Ground,378.8,1152.38,Business,None
SHP000242,Phoenix,San Francisco,2024-09-26,2024-09-30,Delivered,2932,Ground,181.21,1463.13,Government,None
SHP000243,Boston,Detroit,2024-10-20,2024-10-21,Delivered,723,Ground,164.39,458.98,Business,None
SHP000244,Phoenix,Nashville,2024-02-16,2024-02-18,Delivered,1874,Freight,404.44,1150.96,Retail,None
SHP000245,Phoenix,Houston,2024-10-13,2024-10-14,Delivered,1312,Ground,361.78,842.47,Government,None
SHP000246,Atlanta,Portland,2024-02-07,2024-02-09,Delivered,1461,Air,350.34,962.65,Business,None
SHP000247,Denver,Houston,2024-05-26,2024-05-27,Delivered,604,Ground,383.03,536.62,Retail,None
